[14.10.2012 7:02:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:03:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:04:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:05:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:06:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:07:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:08:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:09:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:10:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:11:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:12:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:13:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:14:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:15:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:16:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:17:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:18:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:19:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:20:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:21:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:22:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:23:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:24:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:25:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:26:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:27:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:28:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:29:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:30:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:31:02] inner loop ended, sleeping for 60 seconds.
[14.10.2012 7:32:02] inner loop ended, sleeping for 60 seconds.
